ID,SVET,LVET,LAT,LON,HEIGHT,HEIGHT WRT DEM,SIGMA HEIGHT,COHER
14125,658,1753,45.511939,11.163904,1.3,1.3,1.732488,0.99
14981,620,1822,45.513443,11.159985,1.3,1.3,1.8123916,0.89
6785,304,1055,45.487958,11.137724,1.4,1.4,2.1147416,0.79
6803,925,1056,45.495348,11.193021,1.4,1.4,1.92253,0.83
9077,463,1295,45.496651,11.150071,1.4,1.4,1.8238434,0.92
9635,313,1356,45.496592,11.136194,1.4,1.4,1.8449595,0.85
9978,803,1390,45.503371,11.179612,1.4,1.4,1.8772973,0.92
10195,306,1414,45.498152,11.135117,1.4,1.4,1.9562515,0.76
11628,564,1547,45.504989,11.157127,1.4,1.4,1.8869119,0.9
12625,159,1633,45.502599,11.120246,1.4,1.4,2.0839399,0.76
12873,557,1653,45.507909,11.155682,1.4,1.4,1.8584912,0.87
12945,639,1659,45.509051,11.162941,1.4,1.4,1.7301109,0.99
13119,653,1672,45.509585,11.164087,1.4,1.4,1.7499108,0.96
13146,663,1674,45.50976,11.164962,1.4,1.4,1.7594408,0.96
13626,685,1712,45.511097,11.166627,1.4,1.4,1.7799594,0.95
13655,650,1714,45.510739,11.163494,1.4,1.4,1.8947526,0.89
13831,653,1728,45.511172,11.163654,1.4,1.4,1.7357609,0.99
13870,646,1732,45.511202,11.163,1.4,1.4,1.7909934,0.96
13890,705,1733,45.511929,11.168244,1.4,1.4,1.7928583,0.93
13961,694,1740,45.511997,11.16721,1.4,1.4,1.7311624,0.99
14300,682,1767,45.51262,11.165933,1.4,1.4,1.851243,0.93
7192,931,1095,45.496523,11.193255,1.5,1.5,1.9434846,0.82
8973,951,1286,45.50217,11.193549,1.5,1.5,1.8624925,0.85
10414,589,1434,45.502085,11.160234,1.5,1.5,1.8461432,0.82
11257,539,1513,45.503729,11.155164,1.5,1.5,1.7925934,0.94
12729,815,1640,45.510595,11.178743,1.5,1.5,1.8395444,0.91
13162,723,1675,45.510499,11.170296,1.5,1.5,1.799872,0.93
13553,572,1707,45.509617,11.156602,1.5,1.5,1.8039206,0.94
13558,692,1707,45.511039,11.16729,1.5,1.5,1.818982,0.88
13738,700,1721,45.51153,11.167892,1.5,1.5,1.8685516,0.86
13809,652,1726,45.511103,11.163581,1.5,1.5,1.7488077,0.98
13907,640,1735,45.511216,11.162444,1.5,1.5,1.7359624,0.99
13973,680,1741,45.51186,11.165958,1.5,1.5,1.7499553,0.98
14936,628,1818,45.513425,11.160732,1.5,1.5,1.8023825,0.91
6772,790,1053,45.493671,11.181069,1.6,1.6,1.8247103,0.89
9577,314,1349,45.496406,11.136341,1.6,1.6,1.9060546,0.8
